position,company,location,overview,deadline,url,job description
WSO2 Developers - Kingdom Of Saudi Arabia,Link Solutions,Colombo,"Link Solutions - System integrator company is a Saudi leader in systems integration consulting resulting from decades of experience helping some of the leading Saudi organizations, our skilled people, a profound understanding of technology and our industrialized approach. Link Solutions (Systems Integration Consulting) helps clients solve...",Expires on 08/05/2020,https://xpress.jobs/Jobs/View/51692?Sectors=30,"WSO2 Developers - Kingdom Of Saudi ArabiaLink Solutions is looking for WSO2 Developer as below qualifications :4 to 7 years of experience in WSO2 ESB [EI], WSO2 API Manager and WSO2 Identity Server.Should have experience on development of JEE based web-services, WSDL, SOAP, REST, JSON.Should be able to Setup/Installation of WSO2 ESB], WSO2 API Manager and WSO2 Identity Server clustered deployment.Should hold hands on experience on WSO2 ESB], WSO2 API Manager and WSO2 Identity Server.Working knowledge of proxy services, connectors, error handling, custom mediators and good debugging skills.Should be good at understanding of SOA patterns Exposure on user management, monitoring, multi tenancy, working with registry, performance tuning. ResponsibilitiesWriting clean, high-quality, high-performance, maintainable codeDevelop and support software including applications, database integration, interfaces, and new functionality enhancementsCoordinate cross-functionally to insure project meets business objectives and compliance standardsSupport test and deployment of new products and features.Participate in code reviews.Note: We will accept the applicants from all nationalities.Please click the APPLY button to upload your CV via XpressJobs"
Senior/Lead IFS Technical Consultants,Platned Consulting Service,Colombo,Candidates with a degree and 2 years experience with IFS ERP Application. Please refer to the job advert for further information.,Expires on 07/05/2020,https://xpress.jobs/Jobs/View/58541?Sectors=30,SENIOR/LEAD IFS TECHNICAL CONSULTANTSCandidates should hold a degree from a recognized University2 or more years experience of IFS ERP ApplicationThe selected candidates will be given an attractive remuneration package.Please click the APPLY button to send your CV Via Xpress Jobs
Executive Assistant,S.A.Knowledge Services (Pvt) Ltd,Colombo,"You may be the ideal candidate we are looking for, we are offering a two-year learning experience after which candidate based on skill set, strengths will be given an opportunity to work in a Strategic Business Unit. Please refer to the job advert for further information.",Expires on 06/05/2020,https://xpress.jobs/Jobs/View/58740?Sectors=30,"Executive AssistantAre you comfortable looking at multiple SBU's and want to learn across organizations? Are you a fast learner and looking for a challenge? You may be the ideal candidate we are looking for, we are offering a two-year learning experience after which candidate based on skill set, strengths will be given an opportunity to work in a Strategic Business UnitMust-Have: Minimum of 2 years' experience from a reputed company. Experience dealing with overseas clients is an added advantage. Knowledge of the Google Suite, Microsoft Office software and general procedures and protocol that are required. Excellent verbal and written communications skills in English is required. Outstanding organizational, time management skills. Up to date with latest office gadgets and applications. Discretion and confidentiality. Ability to multitask and prioritize daily workload. Ability to work in a team environment and a high level of integrity is expected Candidate should have basic finance background on project evaluation and creative Ability to apply knowledge across SBU's275, Nawala Road, Nawala, Sri LankaPlease click the APPLY button to upload your CV via XpressJobs"
Associate Tech Lead : React,Cabbage Apps,Colombo,Please refer to the job advert for further information.,Expires on 06/05/2020,https://xpress.jobs/Jobs/View/58413?Sectors=30,"IntroductionThe Software Engineering team at CabbageApps is responsible for analyzing, designing, planning, executing and evaluating work to time, cost and quality targets, assessing and evaluating risk. The Engineers work within a clear framework of accountability, exercising substantial personal responsibility and autonomy. They take initiative to keep skills up to date, mentor colleagues, maintain an awareness of developments in the industry, and advise on scope and options for continuous operational improvement.As a tech team lead, you'll be responsible for strategic, mission-critical problem solving, leading by example and demonstrating extraordinary individual ownership. You will act as the leaders within a squad of engineers, ensure quality standards are maintained and consistently strive for greatness.Expectations from a candidate2+ Years of experience in a senior software development role.A demonstrated history of motivating and empowering team members to achieve a higher level of performanceThe ability to effectively communicate complex technical issues to a non-technical audience engage in productive dialog involving multiple viewpoints or conflicting perspectivesA proven track record of not only delivering high-quality code but defining itAbility to independently scope, design and implement flexible technical solutions while anticipating technical uncertainties.Participate in the Agile Scrum process, including speaking up and giving your opinionYou actively participate in technical decisions and champion clear documentation of decisionsYou champion code reviews and provide clear concise feedbackYou mentor the technical team and help them in their Career GrowthStrong commercial experience with TDD/BDDCommercial experience with NodeJS StronglyAbility to thrive in an Agile first environmentCommercial experience of continuous integration and deliveryStrong commercial experience with TDD/BDDStrong Commercial experience with unit testing ideally in JestCommercial experience with REST APIsStrong commercial experience in building SPAs and isomorphic applicationsCommercial experience with Docker, AWS, Jenkins, RedisCommercial experience with GIT and GIT branching methodologiesWorking knowledge of modern software design patterns and SOLID principlesPassionate for technology and how it can be used to solve problemsDegree in Computer Science, Engineering or related field, or equivalent training, fellowship, or work experienceAbility to present technical problems to non-technical employeesStrong track record of mentoring more junior engineersStrong written and verbal communication skillsStrong teamwork ethicStrong track record of leading engineering teamsAbout Cabbage AppsCabbage Apps is a software development firm that focuses on product designing and development. We specialize in UI/UX Processes, Javascript App Development and Digital Transformation Consulting. Our clients include multi-national companies and a few of the largest financial institutions in Sri Lanka.Why Cabbage AppsYou'll work on everything from customer-facing web apps and backend services, to mobile applications using cutting-edge tools and frameworksWe are a relatively young company and therefore there are tons of opportunity to growYou will have flexible working arrangements to increase productivityWe love Javascript/TypescriptHow we work:High caliber team - We love to work with smart peopleFocus - Based on your skills and interests you'll work in a team focused on Operational Excellence or InnovationIndependence - You'll get all the latitude and freedom to find your ideal approach to problems. No micromanagement hereTeamwork - We do bi-weekly planning where you'll work together with our product ownerGrowth - Bi-weekly we'll teach each other about what we've learned recentlyGreat tools and hardware - All the tools you need to fully focus on codingAutomation - Good developers are lazy developers. One-click deployment and automated testing FTW."
Software Engineer - React,Cabbage Apps,Colombo,Minimum requirement of a bachelors degree or a highly skilled self-learner Individuals who are passionate about software engineering principles and best practices are appreciated.,Expires on 06/05/2020,https://xpress.jobs/Jobs/View/58412?Sectors=30,"IntroductionThe Software Engineering team at CabbageApps is responsible for analyzing, designing, planning, executing and evaluating work to time, cost and quality targets, assessing and evaluating risk. The Engineers work within a clear framework of accountability, exercising substantial personal responsibility and autonomy. They take initiative to keep skills up to date, mentor colleagues, maintain an awareness of developments in the industry, and advise on scope and options for continuous operational improvement.As a Software Engineer, you'll be responsible for building great quality front-end applications. Your primary focus will be on developing user interface components and implementing them following well-known React.js workflows. You will coordinate with the rest of the team working on different layers of the infrastructure. Therefore, a commitment to collaborative problem solving, sophisticated design, and a quality product are important.Expectations from a candidateMinimum 2+ years experience in React.js/Angular/VueExperience in more than one framework is a plus+Strong knowledge in HTML/CSS/LESS/SASSImprove UX / site speed, Unit/Integration testing (like Mocha/Jest)Lazy ;-) You know how to automate your deployment and quality assurance using TDDThe ability to effectively communicate complex technical issues to a non-technical audience engage in productive dialog involving multiple viewpoints or conflicting perspectivesImprove UX / site speed, Unit/Integration testing (like Mocha/Jest)You write clean, concise, self-documenting code that both you and your team can still understand a year afterYou champion code reviews and provide clear concise feedbackAbout Cabbage AppsCabbage Apps is a software development firm that focuses on product designing and development. We specialize in UI/UX Processes, Javascript App Development and Digital Transformation Consulting. Our clients include multi-national companies and a few of the largest financial institutions in Sri Lanka.Why Cabbage AppsYou'll work on everything from customer-facing web apps and backend services, to mobile applications using cutting-edge tools and frameworksWe are a relatively young company and therefore there are tons of opportunity to growYou will have flexible working arrangements to increase productivityWe love Javascript/TypescriptHow we work:High caliber team - We love to work with smart peopleFocus - Based on your skills and interests you'll work in a team focused on Operational Excellence or InnovationIndependence - You'll get all the latitude and freedom to find your ideal approach to problems. No micromanagement hereTeamwork - We do bi-weekly planning where you'll work together with our product ownerGrowth - Bi-weekly we'll teach each other about what we've learned recentlyGreat tools and hardware - All the tools you need to fully focus on codingAutomation - Good developers are lazy developers. One-click deployment and automated testing FTW."
Senior Software Engineer (React),Cabbage Apps,Colombo,"As a Senior Software Engineer, you'll be responsible for building great quality front-end applications. Your primary focus will be on developing user interface components and implementing them following well-known React.js workflows. You will coordinate with the rest of the team working on different layers of the infrastructure. Therefore...",Expires on 06/05/2020,https://xpress.jobs/Jobs/View/58409?Sectors=30,"Senior Software Engineer (React)IntroductionThe Software Engineering team at CabbageApps is responsible for analyzing, designing, planning, executing and evaluating work to time, cost and quality targets, assessing and evaluating risk. The Engineers work within **a clear framework of accountability**, exercising substantial personal responsibility and autonomy. They take initiative to keep skills up to date, mentor colleagues, maintain an awareness of developments in the industry, and advise on scope and options for continuous operational improvement.As a Senior Software Engineer, you'll be responsible for building great quality front-end applications. Your primary focus will be on developing user interface components and implementing them following well-known React.js workflows. You will coordinate with the rest of the team working on different layers of the infrastructure. Therefore, a commitment to collaborative problem solving, sophisticated design, and a quality product are important.Expectations from a candidateMinimum 5+ years experience in React.js/Angular/VueExperience in more than one framework is a plus+Strong knowledge in HTML/CSS/LESS/SASSImprove UX / site speed, Unit/Integration testing (like Mocha/Jest)Lazy ;-) You know how to automate your deployment and quality assurance using TDDThe ability to effectively communicate complex technical issues to a non-technical audience engage in productive dialog involving multiple viewpoints or conflicting perspectivesImprove UX / site speed, Unit/Integration testing (like Mocha/Jest)You write clean, concise, self-documenting code that both you and your team can still understand a year afterYou champion code reviews and provide clear concise feedbackAbout Cabbage AppsCabbage Apps is a software development firm that focuses on product designing and development. We specialize in UI/UX Processes, Javascript App Development and Digital Transformation Consulting. Our clients include multi-national companies and a few of the largest financial institutions in Sri Lanka.Why Cabbage AppsYou'll work on everything from customer-facing web apps and backend services, to mobile applications using cutting-edge tools and frameworksWe are a relatively young company and therefore there are tons of opportunity to growYou will have flexible working arrangements to increase productivityWe love Javascript/TypescriptHow we work:High caliber team - We love to work with smart peopleFocus - Based on your skills and interests you'll work in a team focused on Operational Excellence or InnovationIndependence - You'll get all the latitude and freedom to find your ideal approach to problems. No micromanagement hereTeamwork - We do bi-weekly planning where you'll work together with our product ownerGrowth - Bi-weekly we'll teach each other about what we've learned recentlyGreat tools and hardware - All the tools you need to fully focus on codingAutomation - Good developers are lazy developers. One-click deployment and automated testing FTW.Please click the APPLY button to send your CV Via XpressJobs"
UI Tech Lead,Synergen Health,Colombo,A solid practical understanding of JavaScript / HTML5 / CSS3. Working knowledge on Angular / React and potentially other Javascript libraries/frameworks. Please refer to the job advert for further information.,Expires on 06/05/2020,https://xpress.jobs/Jobs/View/55692?Sectors=30,"UI TECH LEADSynergen Technology Labs (Pvt) Ltd.'s team was formed with a mission to transform the U.S. Healthcare industry with breakthrough Biomedical IoT products. We deliver solutions to enterprise clients using the latest technology, an agileapproach that drives collaboration, innovation, and excellence. We believe in an open, transparent and friendly environment that encourages our team to express opinions, stay creative and be passionate. We have brought together a strong and unique combination of Academics and Industry Experts from leading IT companies around the world. At Synergen Technology Labs, ""Build Connected, Think Connected"" is more than a slogan; it reflects our approach to the U.S. Healthcare industry. Synergen Technology Labs is ready to provide opportunities for energetic and passionate individuals to grow their careers to next level. We help you achieve a proper balance between work and other activities in your life.Requirements :Degree in Computer Science/Software Engineering with 4+ years of Front-End experience A solid practical understanding of JavaScript / HTML5 / CSS3 Working knowledge on Angular / React and potentially other Javascript libraries/frameworksExtensive knowledge and use of Frameworks, and an understanding of it used as a means and not an end-result Desire to make pixel-perfect web products, using all the latest CSS tricks to push boundaries Capable of working within a team in a full development life cycle Ability to work in Agile/Scrum environments Experience on TDD, Mocha, JasmineResponsible for on-time delivery and timely escalations/update of risks, issues, and status to leadership Thinking out of the box to rectify issues from a unique & perspective manner Ability to troubleshoot issues on the application and its environment Prior experience on JIRA (with QMetry/Zephyr) Having strong analytical and problem-solving skillsMaintain high team morale and Lead the teamAn attractive remuneration package awaits the right candidatePlease click the APPLY button to send your CV Via XpressJobs"
DevOps Engineers,Microimage (Pvt) Ltd,Colombo,"A bachelor's degree in Computer science, IT or related discipline. 3 - 4 years of experience as a Linux system engineer/DevOps engineer. Please refer to the job advert for further information.",Expires on 06/05/2020,https://xpress.jobs/Jobs/View/53851?Sectors=30,"DevOps EngineersMicroimage Mobile Media is dedicated to developing lot platforms and Digital convergence products. We're expanding our team with DevOps Engineers, and here's your opportunity to join our team.Job scopeConfigure and maintain,The Kubernetes application cluster of the production environment.The security layer of the production environment including Firewalls and Proxies.Staging and Test bed environments. The ELK monitoring platform.The CI/CD setup.Automate necessary infrastructure and applications with Ansible and Puppet.Provide level 2 support when necessary.Minimum requirementsA bachelor's degree in Computer science, IT or related discipline.3 - 4 years of experience as a Linux system engineer/DevOps engineer.1 - 2 years of experience in maintaining large scale Docker / Kubernetes clusters in production environments.Experience in configuring and maintaining CI/CD pipelines. Conversant on Nginx or Apache HTTP server. Ability to confidently work on Apache Tomcat or Apache Karaf.Prior exposure to maintaining MySQL and MongoDB clusters in large scale. Capability in configuring and troubleshooting DNS, Firewalls.Knowledgeable in Bash scripting and Python scripting.Experience in configuring and maintaining scalable MQTT message broker networks. (ActiveMQ, RabbitMQ)Nice to haveExperience as a Software Engineer or a Test Automation Engineer.Prior involvement in the ELK stack.Experience in Ansible or Puppet.Google cloud or AWS certifications.If you're the right candidate, please share your resumePlease click the APPLY button to send your CV through XpressJobs"
Android Junior Developers,Persystance networks,Colombo,Please refer to the job advert for further information.,Expires on 06/05/2020,https://xpress.jobs/Jobs/View/53764?Sectors=30,"Android Junior DevelopersPlease refer to the job We are looking for enthusiastic coders with an entrepreneurial bent of mind and a fire to make an impact in the way things work.Persystance Networks (Pvt) Ltd is a Mobile Application, Software Development and IT Services Company, based in Sri Lanka. Founded by partners with a passion for technology and service excellence, backed up by extensive knowledge, expertise and experience delivering unique focused and reliable solutions, both nationally and internationally.Required Experience:2+ years of experience in developing android applications design patterns.Good understanding in OOP.Solid Java software development foundation.Excellent communication and teamwork skills.High attention to detail, ability to think clearly.Creatively, and work independently in a challenging environment.Familiarity with Web Services (REST or SOAP) and Internet technologies and protocols.Familiarity with modern Agile methodologies.Capability of building, debugging, profiling and optimizing Android Apps.Please click the APPLY button to upload your CV via XpressJobs"
IOS Junior Developers,Persystance networks,Colombo,Please refer to the job advert for further information.,Expires on 06/05/2020,https://xpress.jobs/Jobs/View/53763?Sectors=30,"IOS Junior DevelopersWe are looking for enthusiastic coders with an entrepreneurial bent of mind and a fire to make an impact in the way things work.Persystance Networks (Pvt) Ltd is a Mobile Application, Software Development and IT Services Company, based in Sri Lanka. Founded by partners with a passion for technology and service excellence, backed up by extensive knowledge, expertise and experience delivering unique focused and reliable solutions, both nationally and internationally.Required Experience:3+ years of experience in coding and app store submissions.Strong experience in Objective-C, Swift & CocoaTouch Framework.Proficient in Xcode, Interface builder & related instruments.Solid understanding in iPhone & iPad application structuring.Sound understanding of background process, hardware sensors & native APIs.Knowledge in Pod, Package manager or Carthage.Experience in Test-flight, Crashlytics, Hokey app and Firebase.Experience in the integration of 3rd party services and REST services in JSON and XML.Ability to collaborate with teams and aptitude to independently learn new technologies.Please click the APPLY button to upload your CV via XpressJobs"
ELV Solutions Support Engineer,DataCore Lanka,Colombo,We are on the lookout for a ELV Solutions Support Engineer to be absorbed into our permanent Cadre immediately. Please refer to the job advert for further information.,Expires on 05/05/2020,https://xpress.jobs/Jobs/View/58370?Sectors=30,"ELV Solutions Support EngineerWe are on the lookout for a ELV Solutions Support Engineer to be absorbed into our permanent Cadre immediately. Below are the minimum criteria for short listing.The ELV Solutions Support Engineer will be responsible for implementation and maintenance and providing technical support for Solutions to the customers of DataCore Lanka (Pvt) Ltd. Following are some key activities to be carried out:1. Liaise with existing clients to provide technical solutions for Data / Power /Voice/CCTV Networks etc. at the clients' premises. 2. Design and submit Bill of Materials, CAD drawings, project proposals for customers. 3. Visit ongoing project sites to overlook work progress. 4. Work closely with the Sales Team to provide the highest level of service to the end customers.With following work attributes and qualifications:Minimum 3-5 years industry experience. Fluency in English - both written and spoken. Ability to work independently as well as be a team player. Ability to analyze, identify and resolve issues. Degree / Higher Diploma in ICT will be advantageous. CCNA will be advantageous. Experience in managing projects with values between Rs. 20-50 million will be advantageous. Certifications in Structured Cabling standards & Cable testing standards will be Advantageous Package: On par with industry standards.Good team leader with a can do attitude is compulsory.Please click the APPLY button to send your CV Via XpressJobs"
Senior Full Stack Software Engineer,Earl Tech,Colombo,"BSc in computer science or related field required; master’s degree is a plus Must have minimum of 3 years’ experience developing application using PHP, React/Redux, NodeJS, SQL/NoSQL databases, AngularJs, ReactJS, Vuejs Please refer to the advert for further information.",Expires on 05/05/2020,https://xpress.jobs/Jobs/View/58340?Sectors=30,"We develop innovative and creative products and services that provide total communication and information solutions Among a plethora of services , web design and development, tailor made applications,cctv solutions,Networking ERPs, CRMs, e-commerce solutions, business-to-business applications, business-to-client applications, managed hosting and internet portal management are few that we offer. Satisfied clients around the globe bear testimony to the quality of our work. As a leader in technology exploring, Earl Tech is committed to exporting quality software and Hardware worldwide.Senior Full Stack Software EngineerEarlTech (Pvt) LimitedSummary As a Full Stack Software Engineer at Earltech, you will ensure that quality software is delivered according to specification and the correct procedures are followed in line with technical and business objectives and company strategy.Full Stack Software Engineer is the custodian of standards-compliant software development and responsible for implementing architecture and designing of the Earltech product portfolio. The successful candidate will be responsible for developing and maintaining clean, efficient code that can used universally across Earltech platforms.He/She is expected to participate in the evolution and implementation of new technologies, processes, open standards, bringing an implementer's perspective to the table. The role requires a wide range of experience with designing and developing high volume, high availability customer facing online platforms. Is an active team player who can work effectively with technical leads, product owners, business analysts, scrum masters, quality engineers in a complex, diverse and dynamically evolving environment.Responsibilities Developing, documenting, coding and testing of softwareBe responsible for the logical and physical development of applications based on agreed user requirements and architecture  Provide help and advice to other development colleagues as appropriateWork with non-technical business colleagues to understand the functionality, composition, and user requirementsBe responsible for tools for data preparation, manipulation and deliveryDevelop testing scripts for new products; assist in troubleshooting performance issuesResponsible for maintaining a high level of expertise in all areas of technology used (or potentially used) by the teamAble to make use of this knowledge to constantly build the skills of other team members and to help drive business strategyEnsure that design and development implications of new requirements can be understood in terms of effort and cost as well as technical implications; malfunctions can be diagnosed and fixed promptly; and so that it can be described to both technical and non-technical colleagues and development partners  Responsible for implementing the defined quality procedures as well as promoting their use within the teamResponsive to resolving software defectsRegular maintenance cycle for reducing software defectsResponsible for clear communication (both written and verbal) with technical and non-technical contacts (internal and external) and all seniority levelsDefines Service Level Objectives for product to constantly measure their reliability in production and help prioritize backlog work  RequirementsBSc in computer science or related field required; master’s degree is a plusMust have minimum of 3 years’ experience developing application using PHP, React/Redux, NodeJS, SQL/NoSQL databases, AngularJs, ReactJS, VuejsKnowledge with software and system architecture, microservices architecture, AWS cloud technologies would  be an added advantageStrong background in developing high availability, high volume, customer-facing online platformsWorking knowledge of caching technologies, front-end technologies, web architectureUnderstanding of technology methodologies including Agile (SCRUM), continuous integration/ continuous development and automationFamiliarity with JIRA and writing user storiesAn attractive remuneration package will be offered to the right candidate along with an opportunity for career growth.Apply with your complete CV and the contact details of two non-related referees.Please click the APPLY button to send your CV Via XpressJobs"
Operations Engineer,Wavenet International (Pvt) Ltd,Colombo,"Exposure in VAS application installation and troubleshooting. (VAS products such as SMSC, MMSC, Messaging Gateway, IVR, etc). Hands-on experience and knowledge in protocols such as M3UA, Sigtran, SMPP, SIP, RTP. Please refer to the job advert for further information.",Expires on 05/05/2020,https://xpress.jobs/Jobs/View/58330?Sectors=30,"Operations EngineerGlobal Wavenet is a leading telco software, systems, and infrastructure solutions provider to wireless and wireline carriers, with core expertise in delivering carrier-specific off-the-shelf solutions specializing in the digital transformation of VAS and BSS platforms through an extensive portfolio of messaging, voice, media, API orchestration and rich digital channel enablement. Wavenet is a dynamic technology company with over 16 years of experience and deployments in over 20 countries, spanning across Oceania, APAC, Africa and Latin America. We are on the lookout for outstanding individuals with a passion to oversee the support function from our operations center in Colombo.ResponsibilitiesCarry out tasks related to aftercare and maintenance of product/applications, post-integration within the agreed SLAs. Monitor and rectify system issues and ensure necessary tracking is carried out till ticket closure. Work independently with customer and delivery teams, maintain regular communications to ensure high customer satisfaction in all aspects of service delivery. Report on operational performance for each customer on a periodic basis for issue identification and preventive maintenance.PrerequisitesA team player who is self-driven and works under pressure with good negotiation skills. Strong problem-solving skills, Root cause analysis and ability to priorities and execute tasks in a fast-paced environment with minimal supervision Exposure in VAS application installation and troubleshooting. (VAS products such as SMSC, MMSC, Messaging Gateway, IVR, etc). Hands-on experience and knowledge in protocols such as M3UA, Sigtran, SMPP, SIP, RTP. Experience in configuring and troubleshooting Databases (MySQL, MongoDB, and mnesia) 3-5 of experience in a similar operations role Ability to work on-Call and willing to travel to client sitesPlease click the APPLY button to send your CV Via XpressJobs"
Trainee/Associate Technical Consultants Degree,Platned Consulting Service,Colombo,Candidates with Oracle PL/SQL development experience. Please refer to the job advert for further information.,Expires on 05/05/2020,https://xpress.jobs/Jobs/View/58301?Sectors=30,TRAINEE/ASSOCIATE TECHNICAL CONSULTANTS DEGREECandidates with Oracle PL/SQL development experienceThe selected candidates will be given an attractive remuneration package.Please click the APPLY button to send your CV Via XpressJobs
Data Scientist/Python Developer,A Singapore Based Company | Company Name Withheld 405,Colombo,"Minimum a Bachelors's degree in Computer Science, Mathematics or IT from a reputable Univ. Minimum 2 years of experience in Python. Please refer to the advert for further information.",Expires on 05/05/2020,https://xpress.jobs/Jobs/View/56865?Sectors=30,"Data Scientist/Python Developer (Full Time) Job is based in Srilanka Requirements: Minimum a Bachelors's degree in Computer Science, Mathematics or IT from a reputable University.  Minimum 2 years of experience in Python Woking knowledge AI/ML concepts and algorithms Strong working knowledge of SQL (Essential) Experience working with large databasesExperience of developing and maintaining data dictionaries for databases Knowledge of statistical analysis toolsExperience in data management technologies and software engineering tools for custom data collection applicationsProgramming knowledge: Employ a variety of languages and tools (e.g. scripting languages) to combine systems together Ensure seamless integration of data across multiple databases SQL, queriesJob Description:Reporting to the Chief Data Scientists based in Singapore, be a member of a team that would develop a leading-edge AI/ML-based solution/product for the Legal Industry. Please click the APPLY button to send your CV Via XpressJobs"
UI Designer/Full Stack Developers,Information Systems Associates (Pvt) Ltd,Colombo,"Strong proficiency in JavaScript (ES6+)/Typescript, HTML, CSS, Bootstrap, React with Redux or Angular. Please refer to the job advert for further information.",Expires on 05/05/2020,https://xpress.jobs/Jobs/View/56184?Sectors=30,"UI Designer/Full-stack developers Strong proficiency in JavaScript (ES6+)/Typescript, HTML, CSS, Bootstrap,  React with Redux or Angular.Minimum 1-year real project experienceAdditionally, experience in Babel, webpack, npm and chrome dev tools, restful APIs, JSON is bestPlease click the APPLY button to send your CV Via XpressJobs"
Software Engineer,Colombo Center for Cognitive Computing,Colombo,"We’re CogCom (Colombo Centre for Cognitive Computing), a UK-backed start-up specialising in the development of experiential programming solutions. Here, we have an energetic team of innovation specialists who are helping people to rapidly respond to Industry 4.0 and optimize their performance.",Expires on 05/05/2020,https://xpress.jobs/Jobs/View/55491?Sectors=30,"Software EngineerSkills and experienceYou should be a technically minded individual who wants to expand your current knowledge and experience within Microsoft-driven technologies. A university degree, diploma or certificate with more than 2 years’ commercial-development experience is a must.You must have knowledge of C# programming and be willing to work with new software development technologies such as C#, Java, .Net, Azure cloud services (web apps, storage accounts, and service bus) etc.The role involves developing, updating and maintaining existing software solutions, such as B2B, B2C and marketing-agency web and mobile applications for clients as well as in-houseThe RoleBe involved in the full software development lifecycle to engineer web and mobile applicationsIdentify the tasks for specific jobs and estimate the development effort needed. Delegate to the Application Development teamDetermine the technical feasibilities and effort to support costing and schedulingConduct daily catch-ups on project status and escalate essential information as neededConduct peer- and code reviews to ensure that deliverables are of the highest quality and meet company standards.Guide the team and colleagues in technical- and business-related issues to overcome day-to-day challengesShare your knowledge of newly found technologies and best practices to keep the team alignedPlease click the APPLY button to send your CV Via XpressJobs"
Executive - E-Marketing (Wattala),Reliable Group of Companies,Colombo,Please refer to the job advert for further information.,Expires on 05/05/2020,https://xpress.jobs/Jobs/View/51823?Sectors=30,"We invite young, enthusiastic, creative and progress oriented Specialist in E-Commerce and Graphic DesigningExecutive - E-Marketing (Wattala)Capabilities: Your capabilities must comprise ofExpert in Adobe Photoshop, Illustrator & Corel Draw Higher/Diploma Qualification in the above is MUSTExpert in PHP, OpenSource & Web Content Management Diploma Qualification in the above is MUSTManage E-Commerce platform in Magento 2Manage Online Store Promotions, inventory system, etc.Handle Windows and Server & Hardware Trouble ShootingsVideo Editing and PostingConversant in English & Sinhala LanguageAbilities: You must posses the following abilities:To understand objectives and concepts and visualize the the creative impact to produce resultsPosses at least TWO years of experience in creative designing and PHP programmingPosses at least ONE year of experience in E-Commerce Magento 2 platform.Pay & Perks are Negotiableminimum gross pay starts with LKR40,000.Apply with your CV and Passport size picturePlease click the APPLY button to send your CV through XpressJobs"
Tech-Lead,Talentversity,Colombo,Please refer to the job advert for further information.,Expires on 05/05/2020,https://xpress.jobs/Jobs/View/50811?Sectors=30,"Tech-Lead (Knowledge of micro-service architecture, unit/integration testing & Node.Js)Employer: An international Software Development Company which offers high-quality application development services for European Clients; is in search of a DevOps Engineer.Management Level: Tactical (Mid-level)Specific Work Experience & Skills:Minimum 1 year as a Tech Lead and/or 3 years as Senior Software Engineer. Knowledge of micro-service architecture, unit/integration testing and Node.Js.Job Description: Tech Lead for a Scrum team of 5 or 6 developers.Job Responsibilities:Discussing technical implementation, preparing issues and assisting the developers in carrying out the development work.Educational Qualifications:BSC or comparable experience that shows similar level of knowledge.Location: Nugegoda, Sri LankaRemuneration: Negotiable + Family Health Insurance.Please click the APPLY button to send your CV through XpressJobs"
"Web developer - Laravel, PHP 7+, SASS (Remote full-time job)",Creative Handles,Colombo,We are looking for a web developer passionate about technology and striving for excellence. You should be an open-minded person with the ability to learn new things quickly. We are a growing European digital agency. Join the other Sri Lankan people on the board!,Expires on 04/05/2020,https://xpress.jobs/Jobs/View/58882?Sectors=30,"Web developer Laravel, PHP 7+, SASS (remote full-time job) What we offerRemote full-time job 80 000 - 160 000 LKR based on your experiences and skills Professional education and online coursesProfessional development thanks to cooperation with the teamYou can work from anywhere you want around the worldIn the future, we would like to open offices in ColomboOpportunity to travel and work from our office in the middle of EuropeWhat will you do?You will work on various web apps or web development projects for our clients. Based on your experiences, preferences, and skills you will join the rest of the team to help with front-end or back-end.What skills are required?HTML 5CSS 3SASS or LESSPHP 7+GITExperience in working with Laravel or SymphonyMySQL databaseFluent EnglishWhat skills we would appreciate?jQueryExperience with GitLab or BitbucketExperience with Project management tool for remote workExperience with PHP StormExperience with setting up serversWorking with team experiencesOpen-minded thinking and high responsibilityPassion to learn new things without worrying that after 5 years we may not use PHP at all. :-)Sounds good? Let's create something awesome together!Please click the APPLY button to send your CV through XpressJobsF&QHow does the development process look like?In the beginning, you are a part of the team discussing how to develop the website or web app. You give feedback to web design. Then there is always one project manager who coordinates tasks and one tester who gives feedback to your work. Do you do code review?Yes, during the development of projects based on our solutions. The base is Laravel framework.No, if we are creating small WordPress websites.Do you do test-driven development?Unfortunately, we don't. We know that it is our weak spot, but you can help us to build this culture in our company.What if I do not have all the necessary skills yet?Much more important than current skills is your attitude to learning new things and your fit for our company culture. You have to be striving for excellence. That's the attitude we need.Is my opinion important?We always encourage people in our teams to come up with their own opinions and solutions. One of our values is to be open to each other and do not be afraid to suggest new ways or give feedback also to the founders. When do I have to work?It's totally up to you. We expect that you will work 8 hours per day from Monday to Friday. Weekends are free.Where do I have to go to work?With us you can work from everywhere - offices in Colombo, in Prague (Czech Republic), from your home or wherever in the world. In our company people have the freedom to work when and where they want if they are able to catch the deadlines. The important part is that everyone is highly responsible for their tasks. How do I get the tasks?We use a project management tool Active Collab where you will find everything you need.How will we communicate?We have a daily online scrum for 15minutes every working day. Then for communication, we use slack, Active Collab and if necessary WhatsApp or Viber.When will you open offices in Colombo?We expect when the number of employees or contractors in Sri Lanka exceeds 5 or 6 people.Do I have time to educate myself?Definitely yes, we will buy courses for you as you wish. Our common goal is your professional and personal development. This is the only way how we can grow as a company together.What should I know about Creative Handles?Our team is spread all around the worldCompany headquarters is based in Prague, Czech Republic - the heart of Europe.We are a free culture company with 10 peopleWe work on various projects, so learning new skills is the key."
